lead_id,milestone_type,milestone_timestamp,loan_id
L001,lead,2099-01-10T09:00:00,
L001,contact,2099-01-11T10:00:00,
L001,opportunity,2099-01-14T09:00:00,
L001,file_started,2099-01-20T09:00:00,LN-1001
L001,funded,2099-02-25T09:00:00,LN-1001
L002,lead,2099-01-05T09:00:00,
L002,contact,2099-01-06T09:00:00,
L002,lead,2099-04-01T09:00:00,
L002,opportunity,2099-04-03T09:00:00,
L002,file_started,2099-04-10T09:00:00,LN-1002
L002,funded,2099-05-01T09:00:00,LN-1002
L003,lead,2099-01-01T09:00:00,
L003,contact,2099-01-02T09:00:00,
L004,lead,2099-01-01T09:00:00,
L004,contact,2099-01-02T09:00:00,
L005,lead,2099-01-01T09:00:00,
L005,contact,2099-01-02T09:00:00,
L006,lead,2099-02-01T09:00:00,
L006B,lead,2099-02-03T09:00:00,
L006B,opportunity,2099-02-10T09:00:00,
L006B,file_started,2099-02-20T09:00:00,LN-1006
L006B,funded,2099-03-25T09:00:00,LN-1006
L007,lead,2099-01-15T09:00:00,
L007,lead,2099-02-24T09:00:00,
L008,lead,2099-02-10T09:00:00,
L008,contact,2099-02-12T09:00:00,
L008,file_started,2099-02-18T09:00:00,LN-1008
L008,lead,2099-04-18T09:00:00,
L008,opportunity,2099-04-20T09:00:00,
L008,funded,2099-05-10T09:00:00,LN-1008
L009,lead,2099-01-12T09:00:00,
L009,contact,2099-01-12T14:00:00,
L009,opportunity,2099-01-12T09:00:00,
L009,file_started,2099-01-12T09:00:00,LN-2000
L009,funded,2099-01-12T09:00:00,LN-2000
L010,lead,2099-02-13T09:00:00,
L010,contact,2099-02-13T14:00:00,
L011,lead,2099-03-14T09:00:00,
L012,lead,2099-04-15T09:00:00,
L012,contact,2099-04-15T14:00:00,
L012,opportunity,2099-04-15T09:00:00,
L012,file_started,2099-04-15T09:00:00,LN-2003
L012,funded,2099-04-15T09:00:00,LN-2003
L013,lead,2099-01-16T09:00:00,
L013,contact,2099-01-16T14:00:00,
L014,lead,2099-02-17T09:00:00,
L015,lead,2099-03-18T09:00:00,
L015,contact,2099-03-18T14:00:00,
L015,opportunity,2099-03-18T09:00:00,
L015,file_started,2099-03-18T09:00:00,LN-2006
L015,funded,2099-03-18T09:00:00,LN-2006
L016,lead,2099-04-19T09:00:00,
L016,contact,2099-04-19T14:00:00,
L017,lead,2099-01-20T09:00:00,
L018,lead,2099-02-21T09:00:00,
L018,contact,2099-02-21T14:00:00,
L018,opportunity,2099-02-21T09:00:00,
L018,file_started,2099-02-21T09:00:00,LN-2009
L018,funded,2099-02-21T09:00:00,LN-2009
L019,lead,2099-03-22T09:00:00,
L019,contact,2099-03-22T14:00:00,
L020,lead,2099-04-23T09:00:00,
L021,lead,2099-01-24T09:00:00,
L021,contact,2099-01-24T14:00:00,
L021,opportunity,2099-01-24T09:00:00,
L021,file_started,2099-01-24T09:00:00,LN-2012
L021,funded,2099-01-24T09:00:00,LN-2012
L022,lead,2099-02-25T09:00:00,
L022,contact,2099-02-25T14:00:00,
L023,lead,2099-03-26T09:00:00,
L024,lead,2099-04-12T09:00:00,
L024,contact,2099-04-12T14:00:00,
L024,opportunity,2099-04-12T09:00:00,
L024,file_started,2099-04-12T09:00:00,LN-2015
L024,funded,2099-04-12T09:00:00,LN-2015
L025,lead,2099-01-13T09:00:00,
L025,contact,2099-01-13T14:00:00,
L026,lead,2099-02-14T09:00:00,
L027,lead,2099-03-15T09:00:00,
L027,contact,2099-03-15T14:00:00,
L027,opportunity,2099-03-15T09:00:00,
L027,file_started,2099-03-15T09:00:00,LN-2018
L027,funded,2099-03-15T09:00:00,LN-2018
L028,lead,2099-04-16T09:00:00,
L028,contact,2099-04-16T14:00:00,
L029,lead,2099-01-17T09:00:00,
L030,lead,2099-02-18T09:00:00,
L030,contact,2099-02-18T14:00:00,
L030,opportunity,2099-02-18T09:00:00,
L030,file_started,2099-02-18T09:00:00,LN-2021
L030,funded,2099-02-18T09:00:00,LN-2021
L031,lead,2099-03-19T09:00:00,
L031,contact,2099-03-19T14:00:00,
L032,lead,2099-04-20T09:00:00,
L033,lead,2099-01-21T09:00:00,
L033,contact,2099-01-21T14:00:00,
L033,opportunity,2099-01-21T09:00:00,
L033,file_started,2099-01-21T09:00:00,LN-2024
L033,funded,2099-01-21T09:00:00,LN-2024
L034,lead,2099-02-22T09:00:00,
L034,contact,2099-02-22T14:00:00,
L035,lead,2099-03-23T09:00:00,
L036,lead,2099-04-24T09:00:00,
L036,contact,2099-04-24T14:00:00,
L036,opportunity,2099-04-24T09:00:00,
L036,file_started,2099-04-24T09:00:00,LN-2027
L036,funded,2099-04-24T09:00:00,LN-2027
L037,lead,2099-01-25T09:00:00,
L037,contact,2099-01-25T14:00:00,
L038,lead,2099-02-26T09:00:00,
L039,lead,2099-03-12T09:00:00,
L039,contact,2099-03-12T14:00:00,
L039,opportunity,2099-03-12T09:00:00,
L039,file_started,2099-03-12T09:00:00,LN-2030
L039,funded,2099-03-12T09:00:00,LN-2030
L040,lead,2099-04-13T09:00:00,
L040,contact,2099-04-13T14:00:00,
