date,campaign,channel,cost
2099-01-01,Google - Always On SEM,Google,180.0
2099-01-02,Google - Always On SEM,Google,180.0
2099-01-03,Google - Always On SEM,Google,180.0
2099-01-04,Google - Always On SEM,Google,180.0
2099-01-05,Google - Always On SEM,Google,180.0
2099-01-06,Google - Always On SEM,Google,180.0
2099-01-07,Google - Always On SEM,Google,180.0
2099-01-08,Google - Always On SEM,Google,180.0
2099-01-09,Google - Always On SEM,Google,180.0
2099-01-10,Google - Always On SEM,Google,180.0
2099-01-11,Google - Always On SEM,Google,180.0
2099-01-12,Google - Always On SEM,Google,180.0
2099-01-13,Google - Always On SEM,Google,180.0
2099-01-14,Google - Always On SEM,Google,180.0
2099-01-15,Google - Always On SEM,Google,180.0
2099-01-16,Google - Always On SEM,Google,180.0
2099-01-17,Google - Always On SEM,Google,180.0
2099-01-18,Google - Always On SEM,Google,180.0
2099-01-19,Google - Always On SEM,Google,180.0
2099-01-20,Google - Always On SEM,Google,180.0
2099-01-21,Google - Always On SEM,Google,180.0
2099-01-22,Google - Always On SEM,Google,180.0
2099-01-23,Google - Always On SEM,Google,180.0
2099-01-24,Google - Always On SEM,Google,180.0
2099-01-25,Google - Always On SEM,Google,180.0
2099-01-26,Google - Always On SEM,Google,180.0
2099-01-27,Google - Always On SEM,Google,180.0
2099-01-28,Google - Always On SEM,Google,180.0
2099-01-29,Google - Always On SEM,Google,180.0
2099-01-30,Google - Always On SEM,Google,180.0
2099-01-31,Google - Always On SEM,Google,180.0
2099-02-01,Google - Always On SEM,Google,180.0
2099-02-02,Google - Always On SEM,Google,180.0
2099-02-03,Google - Always On SEM,Google,180.0
2099-02-04,Google - Always On SEM,Google,180.0
2099-02-05,Google - Always On SEM,Google,180.0
2099-02-06,Google - Always On SEM,Google,180.0
2099-02-07,Google - Always On SEM,Google,180.0
2099-02-08,Google - Always On SEM,Google,180.0
2099-02-09,Google - Always On SEM,Google,180.0
2099-02-10,Google - Always On SEM,Google,180.0
2099-02-11,Google - Always On SEM,Google,180.0
2099-02-12,Google - Always On SEM,Google,180.0
2099-02-13,Google - Always On SEM,Google,180.0
2099-02-14,Google - Always On SEM,Google,180.0
2099-02-15,Google - Always On SEM,Google,180.0
2099-02-16,Google - Always On SEM,Google,180.0
2099-02-17,Google - Always On SEM,Google,180.0
2099-02-18,Google - Always On SEM,Google,180.0
2099-02-19,Google - Always On SEM,Google,180.0
2099-02-20,Google - Always On SEM,Google,180.0
2099-02-21,Google - Always On SEM,Google,180.0
2099-02-22,Google - Always On SEM,Google,180.0
2099-02-23,Google - Always On SEM,Google,180.0
2099-02-24,Google - Always On SEM,Google,180.0
2099-02-25,Google - Always On SEM,Google,180.0
2099-02-26,Google - Always On SEM,Google,180.0
2099-02-27,Google - Always On SEM,Google,180.0
2099-02-28,Google - Always On SEM,Google,180.0
2099-03-01,Google - Always On SEM,Google,180.0
2099-03-02,Google - Always On SEM,Google,180.0
2099-03-03,Google - Always On SEM,Google,180.0
2099-03-04,Google - Always On SEM,Google,180.0
2099-03-05,Google - Always On SEM,Google,180.0
2099-03-06,Google - Always On SEM,Google,180.0
2099-03-07,Google - Always On SEM,Google,180.0
2099-03-08,Google - Always On SEM,Google,180.0
2099-03-09,Google - Always On SEM,Google,180.0
2099-03-10,Google - Always On SEM,Google,180.0
2099-03-11,Google - Always On SEM,Google,180.0
2099-03-12,Google - Always On SEM,Google,180.0
2099-03-13,Google - Always On SEM,Google,180.0
2099-03-14,Google - Always On SEM,Google,180.0
2099-03-15,Google - Always On SEM,Google,180.0
2099-03-16,Google - Always On SEM,Google,180.0
2099-03-17,Google - Always On SEM,Google,180.0
2099-03-18,Google - Always On SEM,Google,180.0
2099-03-19,Google - Always On SEM,Google,180.0
2099-03-20,Google - Always On SEM,Google,180.0
2099-03-21,Google - Always On SEM,Google,180.0
2099-03-22,Google - Always On SEM,Google,180.0
2099-03-23,Google - Always On SEM,Google,180.0
2099-03-24,Google - Always On SEM,Google,180.0
2099-03-25,Google - Always On SEM,Google,180.0
2099-03-26,Google - Always On SEM,Google,180.0
2099-03-27,Google - Always On SEM,Google,180.0
2099-03-28,Google - Always On SEM,Google,180.0
2099-03-29,Google - Always On SEM,Google,180.0
2099-03-30,Google - Always On SEM,Google,180.0
2099-03-31,Google - Always On SEM,Google,180.0
2099-04-01,Google - Always On SEM,Google,180.0
2099-04-01,Google - Refi Reengage,Google,60.0
2099-04-02,Google - Always On SEM,Google,180.0
2099-04-02,Google - Refi Reengage,Google,60.0
2099-04-03,Google - Always On SEM,Google,180.0
2099-04-03,Google - Refi Reengage,Google,60.0
2099-04-04,Google - Always On SEM,Google,180.0
2099-04-04,Google - Refi Reengage,Google,60.0
2099-04-05,Google - Always On SEM,Google,180.0
2099-04-05,Google - Refi Reengage,Google,60.0
2099-04-06,Google - Always On SEM,Google,180.0
2099-04-07,Google - Always On SEM,Google,180.0
2099-04-08,Google - Always On SEM,Google,180.0
2099-04-09,Google - Always On SEM,Google,180.0
2099-04-10,Google - Always On SEM,Google,180.0
2099-04-11,Google - Always On SEM,Google,180.0
2099-04-12,Google - Always On SEM,Google,180.0
2099-04-13,Google - Always On SEM,Google,180.0
2099-04-14,Google - Always On SEM,Google,180.0
2099-04-15,Google - Always On SEM,Google,180.0
2099-04-15,Google - Purchase Switch,Google,45.0
2099-04-16,Google - Always On SEM,Google,180.0
2099-04-16,Google - Purchase Switch,Google,45.0
2099-04-17,Google - Always On SEM,Google,180.0
2099-04-17,Google - Purchase Switch,Google,45.0
2099-04-18,Google - Always On SEM,Google,180.0
2099-04-18,Google - Purchase Switch,Google,45.0
2099-04-19,Google - Always On SEM,Google,180.0
2099-04-19,Google - Purchase Switch,Google,45.0
2099-04-20,Google - Always On SEM,Google,180.0
2099-04-20,Google - Purchase Switch,Google,45.0
2099-04-21,Google - Always On SEM,Google,180.0
2099-04-22,Google - Always On SEM,Google,180.0
2099-04-23,Google - Always On SEM,Google,180.0
2099-04-24,Google - Always On SEM,Google,180.0
2099-04-25,Google - Always On SEM,Google,180.0
2099-04-26,Google - Always On SEM,Google,180.0
2099-04-27,Google - Always On SEM,Google,180.0
2099-04-28,Google - Always On SEM,Google,180.0
2099-04-29,Google - Always On SEM,Google,180.0
2099-04-30,Google - Always On SEM,Google,180.0
2099-05-01,Google - Always On SEM,Google,180.0
2099-05-02,Google - Always On SEM,Google,180.0
2099-05-03,Google - Always On SEM,Google,180.0
2099-05-04,Google - Always On SEM,Google,180.0
2099-05-05,Google - Always On SEM,Google,180.0
2099-05-06,Google - Always On SEM,Google,180.0
2099-05-07,Google - Always On SEM,Google,180.0
2099-05-08,Google - Always On SEM,Google,180.0
2099-05-09,Google - Always On SEM,Google,180.0
2099-05-10,Google - Always On SEM,Google,180.0
2099-05-11,Google - Always On SEM,Google,180.0
2099-05-12,Google - Always On SEM,Google,180.0
2099-05-13,Google - Always On SEM,Google,180.0
2099-05-14,Google - Always On SEM,Google,180.0
2099-05-15,Google - Always On SEM,Google,180.0
2099-05-16,Google - Always On SEM,Google,180.0
2099-05-17,Google - Always On SEM,Google,180.0
2099-05-18,Google - Always On SEM,Google,180.0
2099-05-19,Google - Always On SEM,Google,180.0
2099-05-20,Google - Always On SEM,Google,180.0
2099-05-21,Google - Always On SEM,Google,180.0
2099-05-22,Google - Always On SEM,Google,180.0
2099-05-23,Google - Always On SEM,Google,180.0
2099-05-24,Google - Always On SEM,Google,180.0
2099-05-25,Google - Always On SEM,Google,180.0
2099-05-26,Google - Always On SEM,Google,180.0
2099-05-27,Google - Always On SEM,Google,180.0
2099-05-28,Google - Always On SEM,Google,180.0
2099-05-29,Google - Always On SEM,Google,180.0
2099-05-30,Google - Always On SEM,Google,180.0
2099-05-31,Google - Always On SEM,Google,180.0
2099-02-01,Bing - Purchase Search,Bing,90.0
2099-02-02,Bing - Purchase Search,Bing,90.0
2099-02-03,Bing - Purchase Search,Bing,90.0
2099-02-04,Bing - Purchase Search,Bing,90.0
2099-01-01,Aggregator X - Refi List,Purchased Leads,0.0
2099-01-01,Aggregator X - Purchase List,Purchased Leads,0.0
2099-02-01,Aggregator X - Refi List,Purchased Leads,0.0
2099-02-01,Aggregator X - Purchase List,Purchased Leads,0.0
2099-03-01,Aggregator X - Refi List,Purchased Leads,0.0
2099-03-01,Aggregator X - Purchase List,Purchased Leads,0.0
2099-04-01,Aggregator X - Refi List,Purchased Leads,0.0
2099-04-01,Aggregator X - Purchase List,Purchased Leads,0.0
