id,lead_id,createddate,campaign,cost,utm_source,utm_medium,utm_campaign,gclid
B001,L001,2099-01-10,Google - Brand Purchase,0.0,google,cpc,brand_purchase,GCL-AAA001
B002,L002,2099-01-05,Aggregator X - Refi List,42.5,,,,
B003,L002,2099-04-01,Google - Refi Reengage,0.0,google,cpc,refi_reengage,GCL-BBB002
B004,L003,2099-01-01,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-0
B005,L003,2099-02-15,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-1
B006,L003,2099-04-01,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-2
B007,L003,2099-05-16,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-3
B008,L003,2099-06-30,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-4
B009,L003,2099-08-14,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-5
B010,L003,2099-09-28,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-6
B011,L003,2099-11-12,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-7
B012,L003,2099-12-27,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L003-8
B013,L004,2099-01-01,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-0
B014,L004,2099-02-15,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-1
B015,L004,2099-04-01,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-2
B016,L004,2099-05-16,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-3
B017,L004,2099-06-30,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-4
B018,L004,2099-08-14,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-5
B019,L004,2099-09-28,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-6
B020,L004,2099-11-12,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-7
B021,L004,2099-12-27,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L004-8
B022,L005,2099-01-01,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L005-0
B023,L005,2099-02-15,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L005-1
B024,L005,2099-04-01,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L005-2
B025,L005,2099-05-16,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L005-3
B026,L005,2099-06-30,Google - Always On SEM,0.0,google,cpc,always_on_sem,GCL-L005-4
