id,campaign_id,lead_id,status,has_responded,created_date,variant,experiment_key
CM001,C001,L001,Responded,TRUE,2099-01-10,A,spring_email_subject_2099
CM002,C001,L002,Responded,TRUE,2099-01-10,A,spring_email_subject_2099
CM003,C001,L003,Sent,FALSE,2099-01-11,A,spring_email_subject_2099
CM004,C001,L004,Responded,TRUE,2099-01-11,A,spring_email_subject_2099
CM005,C001,L005,Sent,FALSE,2099-01-12,A,spring_email_subject_2099
CM006,C001,L006,Responded,TRUE,2099-01-12,B,spring_email_subject_2099
CM007,C001,L007,Sent,FALSE,2099-01-13,B,spring_email_subject_2099
CM008,C001,L008,Sent,FALSE,2099-01-13,B,spring_email_subject_2099
CM009,C001,L009,Responded,TRUE,2099-01-14,B,spring_email_subject_2099
CM010,C001,L010,Responded,TRUE,2099-01-14,B,spring_email_subject_2099
CM011,C001,L011,Responded,TRUE,2099-01-15,A,spring_email_subject_2099
CM012,C001,L012,Sent,FALSE,2099-01-15,A,spring_email_subject_2099
CM013,C001,L013,Sent,FALSE,2099-01-16,A,spring_email_subject_2099
CM014,C001,L014,Responded,TRUE,2099-01-16,A,spring_email_subject_2099
CM015,C001,L015,Sent,FALSE,2099-01-17,A,spring_email_subject_2099
CM016,C001,L016,Responded,TRUE,2099-01-17,B,spring_email_subject_2099
CM017,C001,L017,Sent,FALSE,2099-01-18,B,spring_email_subject_2099
CM018,C001,L018,Responded,TRUE,2099-01-18,B,spring_email_subject_2099
CM019,C001,L019,Sent,FALSE,2099-01-19,B,spring_email_subject_2099
CM020,C001,L020,Responded,TRUE,2099-01-19,B,spring_email_subject_2099
CM021,C001,L021,Responded,TRUE,2099-01-20,A,spring_email_subject_2099
CM022,C001,L022,Sent,FALSE,2099-01-20,A,spring_email_subject_2099
CM023,C001,L023,Responded,TRUE,2099-01-21,A,spring_email_subject_2099
CM024,C001,L024,Responded,TRUE,2099-01-21,A,spring_email_subject_2099
CM025,C001,L025,Sent,FALSE,2099-01-22,A,spring_email_subject_2099
CM026,C001,L026,Sent,FALSE,2099-01-22,B,spring_email_subject_2099
CM027,C001,L027,Sent,FALSE,2099-01-23,B,spring_email_subject_2099
CM028,C001,L028,Responded,TRUE,2099-01-23,B,spring_email_subject_2099
CM029,C001,L029,Responded,TRUE,2099-01-24,B,spring_email_subject_2099
CM030,C001,L030,Sent,FALSE,2099-01-24,B,spring_email_subject_2099
CM031,C001,L031,Responded,TRUE,2099-01-25,A,spring_email_subject_2099
CM032,C001,L032,Sent,FALSE,2099-01-25,A,spring_email_subject_2099
CM033,C001,L033,Sent,FALSE,2099-01-26,A,spring_email_subject_2099
CM034,C001,L034,Responded,TRUE,2099-01-26,A,spring_email_subject_2099
CM035,C001,L035,Sent,FALSE,2099-01-27,A,spring_email_subject_2099
CM036,C001,L036,Responded,TRUE,2099-01-27,B,spring_email_subject_2099
CM037,C001,L037,Responded,TRUE,2099-01-28,B,spring_email_subject_2099
CM038,C001,L038,Sent,FALSE,2099-01-28,B,spring_email_subject_2099
CM039,C001,L039,Sent,FALSE,2099-01-29,B,spring_email_subject_2099
CM040,C001,L040,Responded,TRUE,2099-01-29,B,spring_email_subject_2099
CM041,C002,L041,Sent,FALSE,2099-01-30,,
CM042,C002,L042,Sent,FALSE,2099-01-30,,
CM043,C002,L043,Responded,TRUE,2099-01-31,,
CM044,C002,L044,Responded,TRUE,2099-01-31,,
CM045,C002,L045,Sent,FALSE,2099-02-01,,
CM046,C002,L046,Responded,TRUE,2099-02-01,,
CM047,C002,L047,Sent,FALSE,2099-02-02,,
CM048,C002,L048,Sent,FALSE,2099-02-02,,
CM049,C002,L049,Responded,TRUE,2099-02-03,,
CM050,C002,L050,Responded,TRUE,2099-02-03,,
